t;T;T
[s];[°C];[°C]

382,0;220,0;220,0
383,0;220,0;220,0
384,0;219,7;219,7
385,0;219,7;219,7
386,0;219,7;219,7
387,0;219,7;219,7
388,0;219,3;219,3
389,0;219,3;219,3
390,0;219,3;219,3
391,0;219,3;219,3
392,0;219,3;219,3
393,0;219,3;219,3
394,0;219,0;219,0
395,0;219,0;219,0
396,0;218,2;218,2
397,0;218,2;218,2
398,0;217,9;217,9
399,0;217,9;217,9
400,0;217,9;217,9
401,0;217,9;217,9
402,0;217,5;217,5
403,0;217,5;217,5
404,0;217,2;217,2
405,0;217,2;217,2
406,0;217,2;217,2
407,0;217,2;217,2
408,0;216,4;216,4
409,0;216,4;216,4
410,0;216,1;216,1
411,0;216,1;216,1
412,0;216,1;216,1
413,0;216,1;216,1
414,0;215,7;215,7
415,0;215,7;215,7
416,0;215,7;215,7
417,0;215,7;215,7
418,0;215,4;215,4
419,0;215,4;215,4
420,0;214,7;214,7
421,0;214,7;214,7
422,0;215,0;215,0
423,0;215,0;215,0
424,0;214,7;214,7
425,0;214,7;214,7
426,0;214,3;214,3
427,0;214,3;214,3
428,0;213,9;213,9
429,0;213,9;213,9
430,0;213,6;213,6
431,0;213,6;213,6
432,0;213,6;213,6
433,0;213,6;213,6
434,0;213,6;213,6
435,0;213,6;213,6
436,0;213,2;213,2
437,0;213,2;213,2
438,0;212,5;212,5
439,0;212,5;212,5
440,0;212,1;212,1
441,0;212,1;212,1
442,0;211,8;211,8
443,0;211,8;211,8
444,0;211,8;211,8
445,0;211,8;211,8
446,0;211,1;211,1
447,0;211,1;211,1
448,0;210,7;210,7
449,0;210,7;210,7
450,0;210,3;210,3
451,0;210,3;210,3
452,0;210,3;210,3
453,0;210,3;210,3
454,0;210,0;210,0
455,0;210,0;210,0
456,0;210,0;210,0
457,0;210,0;210,0
458,0;209,3;209,3
459,0;209,3;209,3
460,0;209,3;209,3
461,0;209,3;209,3
462,0;208,9;208,9
463,0;208,9;208,9
464,0;208,5;208,5
465,0;208,5;208,5
466,0;208,5;208,5
467,0;208,5;208,5
468,0;208,2;208,2
469,0;208,2;208,2
470,0;207,8;207,8
471,0;207,8;207,8
472,0;207,8;207,8
473,0;207,8;207,8
474,0;207,1;207,1
475,0;207,1;207,1
476,0;207,5;207,5
477,0;207,5;207,5
478,0;206,8;206,8
479,0;206,8;206,8
480,0;206,7;206,7
481,0;206,7;206,7
482,0;206,0;206,0
483,0;206,0;206,0
484,0;205,7;205,7
485,0;205,7;205,7
486,0;205,7;205,7
487,0;205,7;205,7
488,0;204,9;204,9
489,0;204,9;204,9
490,0;204,9;204,9
491,0;204,9;204,9
492,0;204,9;204,9
493,0;204,9;204,9
494,0;204,6;204,6
495,0;204,6;204,6
496,0;204,6;204,6
497,0;204,6;204,6
498,0;204,2;204,2
499,0;204,2;204,2
500,0;203,9;203,9
501,0;203,9;203,9
502,0;203,5;203,5
503,0;203,5;203,5
504,0;203,5;203,5
505,0;203,5;203,5
506,0;203,1;203,1
507,0;203,1;203,1
508,0;202,8;202,8
509,0;202,8;202,8
510,0;202,8;202,8
511,0;202,8;202,8
512,0;202,1;202,1
513,0;202,1;202,1
514,0;202,1;202,1
515,0;202,1;202,1
516,0;201,7;201,7
517,0;201,7;201,7
518,0;201,7;201,7
519,0;201,7;201,7
520,0;201,3;201,3
521,0;201,3;201,3
522,0;201,4;201,4
523,0;201,4;201,4
524,0;200,6;200,6
525,0;200,6;200,6
526,0;201,0;201,0
527,0;201,0;201,0
528,0;200,3;200,3
529,0;200,3;200,3
530,0;199,9;199,9
531,0;199,9;199,9
532,0;200,3;200,3
533,0;200,3;200,3
534,0;199,5;199,5
535,0;199,5;199,5
536,0;199,2;199,2
537,0;199,2;199,2
538,0;199,2;199,2
539,0;199,2;199,2
540,0;199,2;199,2
541,0;199,2;199,2
542,0;198,5;198,5
543,0;198,5;198,5
544,0;197,7;197,7
545,0;197,7;197,7
546,0;197,7;197,7
547,0;197,7;197,7
548,0;197,8;197,8
549,0;197,8;197,8
550,0;197,7;197,7
551,0;197,7;197,7
552,0;197,4;197,4
553,0;197,4;197,4
554,0;197,0;197,0
555,0;197,0;197,0
556,0;197,4;197,4
557,0;197,4;197,4
558,0;196,3;196,3
559,0;196,3;196,3
560,0;196,3;196,3
561,0;196,3;196,3
562,0;196,0;196,0
563,0;196,0;196,0
564,0;196,3;196,3
565,0;196,3;196,3
566,0;195,2;195,2
567,0;195,2;195,2
568,0;195,6;195,6
569,0;195,6;195,6
570,0;194,9;194,9
571,0;194,9;194,9
572,0;194,9;194,9
573,0;194,9;194,9
574,0;194,5;194,5
575,0;194,5;194,5
576,0;194,2;194,2
577,0;194,2;194,2
578,0;194,1;194,1
579,0;194,1;194,1
580,0;194,2;194,2
581,0;194,2;194,2
582,0;193,8;193,8
583,0;193,8;193,8
584,0;193,8;193,8
585,0;193,8;193,8
586,0;193,4;193,4
587,0;193,4;193,4
588,0;193,1;193,1
589,0;193,1;193,1
590,0;192,7;192,7
591,0;192,7;192,7
592,0;192,3;192,3
593,0;192,3;192,3
594,0;192,0;192,0
595,0;192,0;192,0
596,0;192,0;192,0
597,0;192,0;192,0
598,0;191,6;191,6
599,0;191,6;191,6
600,0;191,3;191,3
601,0;191,3;191,3
602,0;191,3;191,3
603,0;191,3;191,3
604,0;190,9;190,9
605,0;190,9;190,9
606,0;190,5;190,5
607,0;190,5;190,5
608,0;190,5;190,5
609,0;190,5;190,5
610,0;190,5;190,5
611,0;190,5;190,5
612,0;190,2;190,2
613,0;190,2;190,2
614,0;189,8;189,8
615,0;189,8;189,8
616,0;189,5;189,5
617,0;189,5;189,5
618,0;189,1;189,1
619,0;189,1;189,1
620,0;189,1;189,1
621,0;189,1;189,1
622,0;188,7;188,7
623,0;188,7;188,7
624,0;188,7;188,7
625,0;188,7;188,7
626,0;188,4;188,4
627,0;188,4;188,4
628,0;187,7;187,7
629,0;187,7;187,7
630,0;188,4;188,4
631,0;188,4;188,4
632,0;187,3;187,3
633,0;187,3;187,3
