t;T;T
[s];[°C];[°C]
;;
483;203,9;203,9
484;203,5;203,5
485;203,5;203,5
486;203,5;203,5
487;203,5;203,5
488;203,5;203,5
489;203,5;203,5
490;202,4;202,4
491;202,4;202,4
492;202,8;202,8
493;202,8;202,8
494;202,1;202,1
495;202,1;202,1
496;201,7;201,7
497;201,7;201,7
498;201,7;201,7
499;201,7;201,7
500;201,3;201,3
501;201,3;201,3
502;200,6;200,6
503;200,6;200,6
504;200,6;200,6
505;200,6;200,6
506;200,2;200,2
507;200,2;200,2
508;199,9;199,9
509;199,9;199,9
510;199,9;199,9
511;199,9;199,9
512;199,5;199,5
513;199,5;199,5
514;199,2;199,2
515;199,2;199,2
516;199,2;199,2
517;199,2;199,2
518;198,8;198,8
519;198,8;198,8
520;198,8;198,8
521;198,8;198,8
522;198,5;198,5
523;198,5;198,5
524;198,1;198,1
525;198,1;198,1
526;198,1;198,1
527;198,1;198,1
528;197,7;197,7
529;197,7;197,7
530;197;197
531;197;197
532;197;197
533;197;197
534;196,7;196,7
535;196,7;196,7
536;196,7;196,7
537;196,7;196,7
538;196,3;196,3
539;196,3;196,3
540;196,3;196,3
541;196,3;196,3
542;195,9;195,9
543;195,9;195,9
544;195,9;195,9
545;195,9;195,9
546;195,2;195,2
547;195,2;195,2
548;195,2;195,2
549;195,2;195,2
550;194,5;194,5
551;194,5;194,5
552;194,5;194,5
553;194,5;194,5
554;194,1;194,1
555;194,1;194,1
556;194,1;194,1
557;194,1;194,1
558;193,4;193,4
559;193,4;193,4
560;193,4;193,4
561;193,4;193,4
562;193,1;193,1
563;193,1;193,1
564;193,1;193,1
565;193,1;193,1
566;192,7;192,7
567;192,7;192,7
568;192,7;192,7
569;192,7;192,7
570;192,4;192,4
571;192,4;192,4
572;191,9;191,9
573;191,9;191,9
574;191,6;191,6
575;191,6;191,6
576;191,6;191,6
577;191,6;191,6
578;190,9;190,9
579;190,9;190,9
580;190,9;190,9
581;190,9;190,9
582;190,5;190,5
583;190,5;190,5
584;190,5;190,5
585;190,5;190,5
586;190,5;190,5
587;190,5;190,5
588;189,8;189,8
589;189,8;189,8
590;189,5;189,5
591;189,5;189,5
592;189,5;189,5
593;189,5;189,5
594;189,4;189,4
595;189,4;189,4
596;189,1;189,1
597;189,1;189,1
598;188,7;188,7
599;188,7;188,7
600;188,4;188,4
601;188,4;188,4
602;188;188
603;188;188
604;188;188
605;188;188
606;188;188
607;188;188
608;187,6;187,6
609;187,6;187,6
610;187,3;187,3
611;187,3;187,3
612;186,9;186,9
613;186,9;186,9
614;186,6;186,6
615;186,6;186,6
616;186,9;186,9
617;186,9;186,9
618;186,2;186,2
619;186,2;186,2
620;186,2;186,2
621;186,2;186,2
622;185,5;185,5
623;185,5;185,5
624;185,5;185,5
625;185,5;185,5
626;185,1;185,1
627;185,1;185,1
628;185,1;185,1
629;185,1;185,1
630;184,8;184,8
631;184,8;184,8
632;184,4;184,4
633;184,4;184,4
634;184;184
635;184;184
636;184;184
637;184;184
638;183,7;183,7
639;183,7;183,7
640;183,7;183,7
641;183,7;183,7
642;183;183
643;183;183
644;183,3;183,3
645;183,3;183,3
646;183,3;183,3
647;183,3;183,3
648;182,6;182,6
649;182,6;182,6
650;182,3;182,3
651;182,3;182,3
652;182,2;182,2
653;182,2;182,2
654;181,9;181,9
655;181,9;181,9
656;181,5;181,5
657;181,5;181,5
658;181,1;181,1
659;181,1;181,1
660;181,2;181,2
661;181,2;181,2
662;180,4;180,4
663;180,4;180,4
664;180,8;180,8
665;180,8;180,8
666;180;180
667;180;180
668;180,1;180,1
669;180,1;180,1
670;179,7;179,7
671;179,7;179,7
672;179,3;179,3
673;179,3;179,3
674;179,4;179,4
675;179,4;179,4
676;178,6;178,6
677;178,6;178,6
678;178,3;178,3
679;178,3;178,3
680;178,3;178,3
681;178,3;178,3
682;178,2;178,2
683;178,2;178,2
684;177,5;177,5
685;177,5;177,5
686;177,6;177,6
687;177,6;177,6
688;177,2;177,2
689;177,2;177,2
690;177,2;177,2
691;177,2;177,2
692;176,5;176,5
693;176,5;176,5
694;176,5;176,5
695;176,5;176,5
696;176,5;176,5
697;176,5;176,5
698;176,4;176,4
699;176,4;176,4
700;176,4;176,4
701;176,4;176,4
702;175,7;175,7
703;175,7;175,7
704;175,4;175,4
705;175,4;175,4
706;175,4;175,4
707;175,4;175,4
708;175;175
709;175;175
710;175;175
711;175;175
712;175;175
713;175;175
714;174,6;174,6
715;174,6;174,6
716;174,6;174,6
717;174,6;174,6
718;173,9;173,9
719;173,9;173,9
720;173,6;173,6
721;173,6;173,6
722;173,6;173,6
723;173,6;173,6
724;173,2;173,2
725;173,2;173,2
726;173,2;173,2
727;173,2;173,2
728;172,8;172,8
729;172,8;172,8
730;172,8;172,8
731;172,8;172,8
732;172,5;172,5
733;172,5;172,5
734;172,1;172,1
735;172,1;172,1
736;171,8;171,8
737;171,8;171,8
738;171,8;171,8
739;171,8;171,8
740;171,8;171,8
741;171,8;171,8
742;171;171
743;171;171
744;171,1;171,1
