t;T
[s];[°C]

835,0;102,7
836,0;102,7
837,0;102,7
838,0;102,7
839,0;102,7
840,0;102,4
841,0;102,0
842,0;102,0
843,0;102,0
844,0;102,0
845,0;101,7
846,0;101,6
847,0;101,6
848,0;101,6
849,0;101,3
850,0;101,3
851,0;101,3
852,0;101,0
853,0;100,6
854,0;101,0
855,0;101,0
856,0;100,6
857,0;100,6
858,0;100,3
859,0;100,3
860,0;100,3
861,0;99,9
862,0;99,9
863,0;99,6
864,0;99,6
865,0;99,6
866,0;99,6
867,0;99,6
868,0;99,6
869,0;99,2
870,0;99,2
871,0;99,2
872,0;99,2
873,0;98,9
874,0;98,5
