t;T
[s];[°C]

649,0;120,3
650,0;120,3
651,0;120,3
652,0;120,3
653,0;119,6
654,0;119,6
655,0;119,6
656,0;119,6
657,0;119,6
658,0;119,6
659,0;119,2
660,0;119,2
661,0;118,9
662,0;119,2
663,0;118,9
664,0;118,5
665,0;118,5
666,0;118,5
667,0;118,2
668,0;118,2
669,0;118,2
670,0;117,8
671,0;118,2
672,0;117,8
673,0;117,8
674,0;117,5
675,0;117,1
676,0;117,5
677,0;117,1
678,0;117,5
679,0;116,8
680,0;116,8
681,0;116,4
682,0;116,4
683,0;116,1
684,0;116,1
685,0;116,1
686,0;116,1
687,0;116,1
688,0;116,1
689,0;116,1
690,0;115,7
691,0;115,7
692,0;115,4
693,0;115,0
694,0;115,0
695,0;114,7
696,0;114,7
697,0;114,7
698,0;114,7
699,0;114,3
700,0;114,3
701,0;114,3
702,0;114,0
703,0;114,0
704,0;114,0
705,0;113,6
706,0;113,6
707,0;114,0
708,0;113,3
709,0;113,3
710,0;112,6
711,0;112,6
712,0;112,6
713,0;112,6
714,0;112,6
715,0;112,6
716,0;112,5
717,0;112,2
718,0;112,2
719,0;111,5
720,0;111,5
721,0;111,5
722,0;111,2
723,0;111,1
724,0;111,2
725,0;110,8
726,0;111,2
727,0;111,2
728,0;110,8
729,0;110,8
730,0;110,5
731,0;110,5
732,0;110,5
733,0;110,5
734,0;110,5
735,0;109,8
736,0;109,8
737,0;109,4
738,0;109,7
739,0;109,4
740,0;109,4
741,0;109,1
742,0;109,1
743,0;109,1
744,0;109,0
745,0;108,7
746,0;108,7
747,0;108,4
748,0;108,4
749,0;108,4
750,0;108,4
751,0;108,0
752,0;108,0
753,0;108,0
754,0;107,7
755,0;107,7
756,0;107,3
757,0;107,3
758,0;107,3
759,0;107,0
760,0;106,9
761,0;106,9
762,0;106,6
763,0;106,9
764,0;106,2
765,0;106,2
766,0;106,3
767,0;106,3
768,0;105,9
769,0;105,9
770,0;105,9
771,0;105,9
772,0;105,6
773,0;105,5
774,0;105,5
775,0;105,6
776,0;105,5
777,0;105,5
778,0;105,2
779,0;105,2
